Latitude, Longitude, Altitude, Time 
50.45,3.96,0.00,2023-2-24 10:38:9
50.45,3.96,0.00,2023-2-24 10:38:9
50.45,3.96,50.70,2023-2-24 10:38:29
50.45,3.96,50.70,2023-2-24 10:38:29
50.45,3.96,50.70,2023-2-24 10:38:29
50.45,3.96,50.70,2023-2-24 10:38:29
50.45,3.96,50.70,2023-2-24 10:38:29
50.45,3.96,50.70,2023-2-24 10:39:20
50.45,3.96,50.70,2023-2-24 10:39:20
50.45,3.96,40.40,2023-2-24 10:39:40
50.45,3.96,40.40,2023-2-24 10:39:40
50.45,3.96,40.40,2023-2-24 10:39:40
50.45,3.96,40.40,2023-2-24 10:39:40
50.45,3.96,40.40,2023-2-24 10:39:40
50.45,3.96,40.40,2023-2-24 10:40:31
50.45,3.96,40.40,2023-2-24 10:40:31
50.45,3.96,48.20,2023-2-24 10:40:51
50.45,3.96,48.20,2023-2-24 10:40:51
50.45,3.96,48.20,2023-2-24 10:40:51
50.45,3.96,48.20,2023-2-24 10:40:51
50.45,3.96,48.20,2023-2-24 10:40:51
